Fecha,RSSID,VBat,VIn,humedad,irradiancia,precipitacion,presion,temperatura,Name
2022-03-10,-54.352079912424735,3.8647926662561574,3.4435673088396275,65.92521625892856,13.257972822023808,0.0,893.5797730769842,26.47197980178571,E2_00020
2022-03-11,-47.0951392947594,4.1360031523637915,4.982576663208651,60.724894822344794,6.209208767239756,0.0,894.6959833454684,26.917350733652345,E2_00020
2022-03-12,-47.492874131437105,4.152114062520291,4.9828235487694,62.68942539683815,4.593924614781398,0.0,894.1905159116209,27.2360848350112,E2_00020
2022-03-13,-52.37346986817326,4.152720776340996,4.984325332740763,59.449725429614745,4.107051377573624,0.0,895.6934085768045,26.911476247755132,E2_00020
2022-03-14,-52.30601459510358,4.156373035310735,4.984279403013184,60.64050774017185,3.773908745327212,0.0,894.7741508256845,27.534984121408858,E2_00020
2022-03-15,-52.70317253368101,4.154733420143414,4.984658652216428,57.39644714100935,0.37203815705128207,0.0,895.2581063282378,27.190981106831902,E2_00020
2022-03-16,,,,,,,,,E2_00020
2022-03-17,,,,,,,,,E2_00020
2022-03-18,,,,,,,,,E2_00020
2022-03-19,,,,,,,,,E2_00020
2022-03-20,,,,,,,,,E2_00020
2022-03-21,,,,,,,,,E2_00020
2022-03-22,,,,,,,,,E2_00020
2022-03-23,,,,,,,,,E2_00020
2022-03-24,,,,,,,,,E2_00020
2022-03-25,,,,,,,,,E2_00020
2022-03-26,,,,,,,,,E2_00020
2022-03-27,,,,,,,,,E2_00020
2022-03-28,,,,,,,,,E2_00020
2022-03-29,,,,,,,,,E2_00020
2022-03-30,,,,,,,,,E2_00020
2022-03-31,-76.97702896601203,4.091638127880906,3.8443661180163216,44.30442907134338,22.045071013084033,0.0,750.2517905601587,22.511462116796388,E2_00020
2022-04-01,-78.87243229225412,3.922854447712769,2.813419439909803,43.67204661774593,8.08932300366287,0.0,751.8727238929719,22.81765020782897,E2_00020
2022-04-02,-84.70828625235406,4.131727915893196,4.983028509449826,43.88630964914585,0.0,0.0,752.6711856716253,23.221723576552595,E2_00020
2022-04-03,-87.87000943200053,4.123650171843315,4.979442340245467,46.65636402308062,0.0,0.0,751.7865439772631,22.907346702608397,E2_00020
2022-04-04,-89.5554321709202,4.114693509261963,4.958569473829469,45.67663031265667,3.640149714230226,0.0,751.6527457778111,23.048619627110124,E2_00020
2022-04-05,-90.84417367587392,4.134760263105735,4.968702217823291,45.02491913169686,0.0,0.0,751.8973298391059,23.13182746800347,E2_00020
2022-04-06,-83.79345238095239,4.134676531746033,4.971905535714286,45.48373496686507,4.0635352380952385,0.0,750.9235537031745,23.128884528968253,E2_00020
2022-04-07,,,,,,,,,E2_00020
2022-04-08,-73.5535036901523,4.136072645166839,4.9670907069456165,43.1137296103293,21.20573895162011,0.0,750.4266966837919,22.538301727277027,E2_00020
2022-04-09,-85.17869482018202,4.1343989163445345,4.9685475843078235,43.16688430603705,0.0,0.0,750.6411402404444,23.419115586082338,E2_00020
2022-04-10,-84.72919020715631,4.1343345988700575,4.968958497175141,47.87464005838041,0.0,0.0,752.210472677778,23.278218019020713,E2_00020
2022-04-11,-78.18541549953315,4.118780358916902,4.969236038468721,42.28281461716153,14.720169306470586,0.0,749.7204365291784,23.771437508804855,E2_00020
2022-04-12,-76.93433873606129,3.9014343004830474,3.32429287625418,45.04914109488294,67.15587004666666,0.0,751.0922499029041,21.94036262239688,E2_00020
2022-04-13,,,,,,,,,E2_00020
2022-04-14,,,,,,,,,E2_00020
2022-04-15,,,,,,,,,E2_00020
2022-04-16,,,,,,,,,E2_00020
2022-04-17,,,,,,,,,E2_00020
2022-04-18,,,,,,,,,E2_00020
2022-04-19,-77.38514288053715,3.8821372744616394,0.0,63.185778552640635,0.0,0.0,752.4750320907046,18.663684803381646,E2_00020
2022-04-20,-87.3161172161172,3.7352271990231998,2.127093479853479,56.483336897810034,12.349404316279259,0.0,753.466571375487,20.01040459073593,E2_00020
2022-04-21,-87.79275577429088,4.110215609076903,4.970765907607544,59.26923683042131,130.940949646176,0.0,753.3944136713434,18.29728311199725,E2_00020
2022-04-22,-92.50641662449947,4.130967221201637,4.972788627072526,59.58265179827756,142.4001659001447,0.0,752.7329297922242,18.193642102389983,E2_00020
2022-04-23,-91.94275155854275,4.1330983280976055,4.977200463431067,59.55744370721708,123.52759071503222,0.0,751.8525992879439,18.44562146101426,E2_00020
2022-04-24,-92.44906266138184,4.137554088067136,4.981442887775838,61.530416245981975,102.56452206514427,2.444265271765272e-05,751.2675264532177,18.320705347823747,E2_00020
2022-04-25,-93.53827993359103,4.1287294668203005,4.970932585365248,62.26597730206143,135.78473901011148,0.0,752.5819371202252,17.462371933762178,E2_00020
2022-04-26,-92.78985552291503,4.12835428456906,4.970887277666697,61.539830689479544,115.48419494769263,0.0,752.2155002227574,17.53238779065746,E2_00020
2022-04-27,-92.56209981167609,4.127334920668549,4.969310411723163,62.728915872916865,79.69993054453583,0.0,752.1084798200004,18.117703274101938,E2_00020
2022-04-28,-92.64616492954087,4.127028645423403,4.968424237815767,64.37009089444201,78.5927614210728,0.0,751.9928640357107,17.953804313876628,E2_00020
2022-04-29,-91.47272956036106,4.125419734471392,4.969773707756996,61.30951220222834,106.68993183606,0.0,752.4214951918407,17.870250480911782,E2_00020
2022-04-30,-91.42105818559646,4.125140194192802,4.9683438754221045,57.09375390147563,81.39359661335388,0.0,752.5523320688925,17.329046765006115,E2_00020
2022-05-01,-91.21995056497174,4.1241884941148745,4.971625459274953,52.36208496403368,144.7109931536742,0.0,752.6075663742827,17.9281173172103,E2_00020
